VPNr, Trial, Amount, Image, Response, Correct, Time
77,450,41,Blumen,Blumen,1,1.837212e+00
77,451,40,Blumen,Blumen,1,2.146417e+00
77,452,39,Fische,Volkspark,0,7.870335e+00
77,453,42,Fische,Fische,1,3.054734e+00
77,454,41,Abend,Abend,1,1.855854e+00
77,455,40,Br_Tor,Br_Tor,1,2.417669e+00
77,456,39,Blumen,Blumen,1,2.134169e+00
77,457,38,Blumen,Blumen,1,3.157559e+00
77,458,37,Lift,Fenster,0,7.955165e+00
77,459,40,Blumen,Blumen,1,1.607658e+00
77,460,39,Volkspark,Volkspark,1,1.615534e+00
77,461,38,Br_Tor,Br_Tor,1,2.044403e+00
77,462,37,Volkspark,Lift,0,2.541920e+00
77,463,40,Lift,Lift,1,3.684650e+00
77,464,39,Volkspark,Fische,0,5.227435e+00
77,465,42,Egypt,Egypt,1,1.866351e+00
77,466,41,Blumen,Blumen,1,1.677548e+00
77,467,40,Blumen,Blumen,1,1.735113e+00
77,468,39,Fenster,Fenster,1,2.989066e+00
77,469,38,Abend,Abend,1,1.681198e+00
77,470,37,Br_Tor,Br_Tor,1,2.619957e+00
77,471,36,Br_Tor,Br_Tor,1,2.069664e+00
77,472,35,Br_Tor,Br_Tor,1,1.802039e+00
77,473,34,Fenster,Fenster,1,1.781533e+00
77,474,33,Lift,Fische,0,3.809880e+00
77,475,36,Egypt,Egypt,1,2.217344e+00
77,476,35,Lift,Sanssouci,0,2.291126e+00
77,477,38,Fische,Fische,1,2.204536e+00
77,478,37,Fische,Br_Tor,0,1.567241e+00
77,479,40,Sanssouci,Lift,0,1.388438e+01
77,480,43,Fenster,Fenster,1,1.832535e+00
77,481,42,Blumen,Blumen,1,1.930291e+00
77,482,41,Volkspark,Sanssouci,0,1.993731e+00
77,483,44,Sanssouci,Br_Tor,0,4.031959e+00
77,484,47,Sanssouci,Vogel,0,1.750023e+00
77,485,50,Volkspark,Volkspark,1,1.631105e+00
77,486,49,Egypt,Lift,0,4.008977e+00
77,487,52,Sanssouci,Sanssouci,1,1.838672e+00
77,488,51,Blumen,Blumen,1,2.333370e+00
77,489,50,Sanssouci,Sanssouci,1,1.789432e+00
77,490,49,Br_Tor,Br_Tor,1,1.910336e+00
77,491,48,Abend,Abend,1,1.037198e+01
77,492,47,Volkspark,Volkspark,1,1.728490e+00
77,493,46,Fische,Fische,1,2.627643e+00
77,494,45,Fische,Fische,1,1.698979e+00
77,495,44,Sanssouci,Blumen,0,1.532584e+00
77,496,47,Sanssouci,Sanssouci,1,2.258096e+00
77,497,46,Fische,Fische,1,1.956025e+00
77,498,45,Blumen,Abend,0,1.881787e+00
77,499,48,Egypt,Egypt,1,2.543677e+00
77,500,47,Fenster,Fenster,1,2.622465e+00
77,501,46,Sanssouci,Vogel,0,2.448425e+00
77,502,49,Lift,Fische,0,2.203806e+00
77,503,52,Volkspark,Volkspark,1,1.894770e+00
77,504,51,Egypt,Egypt,1,2.420714e+00
77,505,50,Volkspark,Volkspark,1,1.840359e+00
77,506,49,Sanssouci,Sanssouci,1,1.920011e+00
77,507,48,Br_Tor,Br_Tor,1,3.219203e+00
77,508,47,Br_Tor,Br_Tor,1,3.744404e+00
77,509,46,Blumen,Blumen,1,2.799883e+00
77,510,45,Blumen,Fische,0,2.819129e+00
77,511,48,Fische,Sanssouci,0,2.791645e+00
77,512,51,Blumen,Blumen,1,2.155757e+00
77,513,50,Sanssouci,Sanssouci,1,2.113273e+00
77,514,49,Volkspark,Volkspark,1,2.238273e+00
77,515,48,Vogel,Vogel,1,2.610713e+00
77,516,47,Blumen,Blumen,1,6.593944e+00
77,517,46,Sanssouci,Sanssouci,1,2.310445e+00
77,518,45,Egypt,Egypt,1,1.821724e+00
77,519,44,Vogel,Br_Tor,0,4.047035e+00
77,520,47,Br_Tor,Blumen,0,2.129271e+00
77,521,50,Blumen,Blumen,1,1.806074e+00
77,522,49,Lift,Fenster,0,3.202382e+00
77,523,52,Lift,Lift,1,2.461798e+00
77,524,51,Fenster,Fenster,1,1.678546e+00
